,Company Location,Educational Level,Experience Requirements,Work Environment,Work Type,Industry,Company Type,Median Salary
0,"Vancouver, BC",Undergraduate degree,3,Hybrid,Full-time,Hospitals and Health Care,Small,72500.0
1,"Victoria, BC",Not required,2,Remote,Full-time,Financial Services,large,110000.0
2,"Toronto, ON",Not required,3,On-site,Full-time,"Technology, Information and Internet",Small,
3,"Montreal, QC",Not required,2,Hybrid,Full-time,Advertising Services,Small,80000.0
4,"Toronto, ON",Not required,6,Hybrid,Contract,IT Services and IT Consulting,large,
5,"Burnaby, BC",Not required,0,Hybrid,Full-time,Security and Investigations,large,70000.0
6,"Toronto, ON",Not required,2,Hybrid,Contract,Staffing and Recruiting,large,65000.0
7,"Toronto, ON",Not required,2,Hybrid,Contract,IT Services and IT Consulting,large,
8,"Vancouver, BC",Not required,3,On-site,Full-time,Software Development,large,
9,"Compeer, AB",Post-secondary degree,0,On-site,Internship,Financial Services,large,
10,"Vancouver, BC",Not required,6,Hybrid,Full-time,Retail,large,125000.0
11,"Saskatchewan, SK",Undergraduate degree,5,Hybrid,Full-time,Insurance,Medium,
12,"Montreal, QC",Not required,4,Hybrid,Full-time,Entertainment Providers,large,127350.0
13,"Vancouver, BC",Undergraduate degree,8,On-site,Full-time,Retail,Medium,
14,"Toronto, ON",Undergraduate degree,7,Hybrid,Full-time,Banking,large,
15,"Calgary, AB",Undergraduate degree,0,Hybrid,Full-time,Business Consulting and Services,large,77000.0
16,"Toronto, ON",Undergraduate degree,3,On-site,Full-time,Business Consulting and Services,large,
17,"Toronto, ON",Not required,5,Hybrid,Contract,Human Resources,Small,50000.0
18,"Toronto, ON",Master degree,8,,Full-time,"Technology, Information and Internet",large,151400.0
19,"Toronto, ON",Post-secondary degree,0,On-site,Internship,Banking,large,
20,"Boucherville, QC",Undergraduate degree,5,On-site,Full-time,Retail,large,
21,"Toronto, ON",Not required,7,Remote,Full-time,"Technology, Information and Internet",large,
22,"Vancouver, BC",Not required,0,On-site,Full-time,"Technology, Information and Internet",Small,34000.0
23,"Toronto, ON",Undergraduate degree,0,On-site,Internship,Banking,large,
24,"Alberta, AB",Undergraduate degree,3,Hybrid,Contract,Professional Services,large,
25,"Toronto, ON",Undergraduate degree,2,On-site,Full-time,Hospitals and Health Care,large,
26,"Montreal, QC",Post-secondary degree,4,Remote,Full-time,Music,Medium,
27,"Toronto, ON",Post-secondary degree,5,Hybrid,Full-time,Financial Services,large,
28,"Ottawa, ON",Master degree,10,,Full-time,Telecommunications,large,168500.0
29,"Montreal, QC",Not required,1,Hybrid,Contract,IT Services and IT Consulting,large,
30,"Toronto, ON",Undergraduate degree,6,,Full-time,Consumer Services,large,
31,"Toronto, ON",Not required,10,Hybrid,Contract,IT Services and IT Consulting,large,
32,"Mississauga, ON",Undergraduate degree,3,On-site,Contract,Banking,large,
33,"Markham, ON",Not required,7,On-site,,IT Services and IT Consulting,large,135000.0
34,"Langley, BC",Undergraduate degree,5,On-site,Full-time,Retail,large,104490.0
35,"Calgary, AB",Undergraduate degree,0,Hybrid,Full-time,Banking,large,
36,"Edmonton, AB",Not required,0,Remote,Contract,Staffing and Recruiting,Small,
37,"Vancouver, BC",Undergraduate degree,0,Hybrid,Full-time,Financial Services,Medium,
38,"Vancouver, BC",Undergraduate degree,3,On-site,Full-time,Software Development,large,
39,"Vancouver, BC",Undergraduate degree,5,Remote,Full-time,Software Development,Small,
40,"Burnaby, BC",Undergraduate degree,2,On-site,Full-time,Gambling Facilities and Casinos,large,62271.0
41,"Toronto, ON",Undergraduate degree,0,Remote,Internship,Financial Services,Medium,
42,"Toronto, ON",Post-secondary degree,3,Hybrid,Full-time,Accounting,Medium,
44,"Edmonton, AB",Undergraduate degree,2,Hybrid,Full-time,Government Administration,large,79286.0
45,"Toronto, ON",Post-secondary degree,2,Remote,Full-time,Financial Services,Small,
46,"Surrey, BC",Undergraduate degree,1,Hybrid,Contract,Staffing and Recruiting,Medium,
